"Kod";"Nazwa";"dzieci w wieku 3-5 lat przypadająca na jedną placówkę wychowania przedszkolnego;2023;[osoba]";
2807000;"Powiat iławski";122,21;
2808000;"Powiat kętrzyński";134,90;
2809000;"Powiat lidzbarski";95,91;
2810000;"Powiat mrągowski";107,50;
2811000;"Powiat nidzicki";168,20;
2812000;"Powiat nowomiejski";110,31;
2813000;"Powiat olecki";71,77;
2814000;"Powiat olsztyński";81,39;
2815000;"Powiat ostródzki";97,17;
2816000;"Powiat piski";166,11;
2817000;"Powiat szczycieński";92,73;
2818000;"Powiat gołdapski";91,38;
2819000;"Powiat węgorzewski";66,13;
2861000;"Powiat m. Elbląg";71,10;
2862000;"Powiat m. Olsztyn";55,27;
3001000;"Powiat chodzieski";91,13;
3002000;"Powiat czarnkowsko-trzcianecki";72,37;
3003000;"Powiat gnieźnieński";77,42;
3004000;"Powiat gostyński";88,37;
3005000;"Powiat grodziski";110,00;
3006000;"Powiat jarociński";81,04;
3007000;"Powiat kaliski";84,34;
3008000;"Powiat kępiński";88,50;
3009000;"Powiat kolski";88,38;
3010000;"Powiat koniński";167,68;
3011000;"Powiat kościański";83,41;
3012000;"Powiat krotoszyński";124,84;
3013000;"Powiat leszczyński";110,86;
3014000;"Powiat międzychodzki";90,00;
3015000;"Powiat nowotomyski";86,27;
3016000;"Powiat obornicki";77,52;
3017000;"Powiat ostrowski";86,12;
3018000;"Powiat ostrzeszowski";104,71;
3019000;"Powiat pilski";81,15;
3020000;"Powiat pleszewski";59,67;
3021000;"Powiat poznański";71,30;
3022000;"Powiat rawicki";59,91;
3023000;"Powiat słupecki";70,76;
3024000;"Powiat szamotulski";101,87;
3025000;"Powiat średzki";69,81;
3026000;"Powiat śremski";76,26;
3027000;"Powiat turecki";108,00;
3028000;"Powiat wągrowiecki";99,65;
3029000;"Powiat wolsztyński";64,78;
3030000;"Powiat wrzesiński";74,29;
3031000;"Powiat złotowski";73,32;
3061000;"Powiat m. Kalisz";59,82;
3062000;"Powiat m. Konin";67,88;
3063000;"Powiat m. Leszno";54,93;
3064000;"Powiat m. Poznań";54,06;
3201000;"Powiat białogardzki";111,45;
3202000;"Powiat choszczeński";74,60;
3203000;"Powiat drawski";111,92;
3204000;"Powiat goleniowski";76,20;
3205000;"Powiat gryficki";135,64;
3206000;"Powiat gryfiński";117,59;
3207000;"Powiat kamieński";87,31;
3208000;"Powiat kołobrzeski";77,38;
3209000;"Powiat koszaliński";110,65;
3210000;"Powiat myśliborski";104,50;
3211000;"Powiat policki";67,76;
3212000;"Powiat pyrzycki";50,58;
3213000;"Powiat sławieński";73,25;
3214000;"Powiat stargardzki";79,67;
3215000;"Powiat szczecinecki";84,26;
3216000;"Powiat świdwiński";104,10;
3217000;"Powiat wałecki";86,38;
3218000;"Powiat łobeski";108,50;
3261000;"Powiat m. Koszalin";66,54;
3262000;"Powiat m. Szczecin";73,41;
3263000;"Powiat m. Świnoujście";70,83;
